ID,Role,gender_id,birth_year,generation,race_eth,nationality,rel_status,fam_origin,household,region,num_lang,curious,conscient,extravert,agreeable,confident
60,1,Female,1959,Boomer,White,United States,More than 1 year,6,1,Suburban,2,5,6,4,6,5
55,1,Female,1965,GenX,White,United States,More than 1 year,4,4,Urban,2,6,5,3,5,3
29,0,Male,1967,GenX,White,United States,More than 1 year,3,1,Suburban,1,7,8,8,7,3
72,1,Female,1967,GenX,Other,Canada,More than 1 year,4,4,Urban,1,6,6,4,4,5
86,1,Female,1967,GenX,Asian,India,More than 1 year,4,4,Suburban,3,4,5,3,4,4
94,1,Female,1967,GenX,Asian,India,More than 1 year,4,4,Suburban,3,3,6,2,5,5
91,1,Male,1968,GenX,Asian,United States,More than 1 year,6,5,Suburban,4,4,4,1,1,5
62,1,Female,1969,GenX,Asian,India,More than 1 year,5,4,Suburban,3,2,5,4,6,6
67,1,Female,1969,GenX,Asian,United States,More than 1 year,4,3,Suburban,4,5,6,4,4,4
47,1,Male,1970,GenX,Asian,United States,More than 1 year,4,4,Suburban,3,6,5,3,1,4
37,0,Male,1971,GenX,White,Spain,More than 1 year,4,2,Urban,2,7,9,5,6,9
52,1,Female,1971,GenX,Asian,United States,More than 1 year,11,5,Suburban,2,3,6,2,5,3
10,0,Male,1974,GenX,White,United States,More than 1 year,4,4,Urban,2,NA,8,9,7,9
53,1,Female,1974,GenX,Asian,United States,More than 1 year,16,5,Suburban,2,6,6,6,6,5
73,1,Female,1974,GenX,White,United States,More than 1 year,7,5,Suburban,2,5,5,2,3,3
82,1,Male,1974,GenX,Asian,India,More than 1 year,5,4,Urban,2,4,5,3,4,4
89,1,Female,1974,GenX,Asian,India,Do not want to say,5,4,Suburban,4,NA,NA,NA,5,6
21,0,Other,1975,GenX,Asian,India,More than 1 year,4,4,Suburban,3,7,5,4,8,6
76,1,Female,1975,GenX,Asian,India,More than 1 year,4,4,Suburban,4,2,4,2,3,4
77,1,Other,1975,GenX,Multi,Greece,More than 1 year,4,2,Urban,3,6,5,3,4,2
97,1,Female,1975,GenX,Asian,India,Do not want to say,5,4,Suburban,4,4,5,3,5,4
33,0,Male,1976,GenX,Asian,Malaysia,More than 1 year,7,4,Suburban,3,7,9,7,9,8
81,1,Female,1976,GenX,Asian,India,More than 1 year,5,4,Urban,3,6,6,6,6,6
83,1,Female,1976,GenX,Asian,India,More than 1 year,6,4,Suburban,3,5,5,4,5,5
88,1,Female,1976,GenX,Asian,India,More than 1 year,5,4,Suburban,3,5,5,3,5,4
65,1,Male,1977,GenX,White,United States,Not in a relationship,4,1,Urban,2,5,5,6,6,4
25,0,Female,1978,GenX,Asian,India,More than 1 year,8,2,Urban,4,9,9,3,5,3
54,1,Male,1978,GenX,Asian,United States,More than 1 year,4,2,Suburban,3,6,5,2,4,4
69,1,Female,1978,GenX,White,United States,More than 1 year,4,4,Suburban,1,3,6,3,6,3
92,1,Female,1978,GenX,Asian,United States,More than 1 year,5,4,Suburban,2,5,6,3,3,5
51,1,Female,1979,GenX,Multi,United States,More than 1 year,5,3,Urban,1,6,6,3,4,6
57,1,Female,1979,GenX,Asian,India,More than 1 year,7,4,Suburban,3,3,4,2,3,6
79,1,Female,1979,GenX,White,United States,More than 1 year,4,4,Suburban,1,3,6,4,6,3
87,1,Female,1979,GenX,Asian,India,More than 1 year,5,4,Suburban,3,6,5,5,5,5
39,0,Male,1980,GenX,Asian,India,More than 1 year,4,5,Urban,3,9,10,9,9,9
41,0,Male,1980,GenX,Latinx,Mexico,More than 1 year,5,3,Urban,3,7,8,4,8,6
66,1,Female,1980,GenX,Asian,India,More than 1 year,4,4,Suburban,2,5,5,5,4,4
71,1,Female,1980,GenX,Asian,India,More than 1 year,6,4,Suburban,5,4,4,3,4,4
85,1,Female,1980,GenX,Asian,United States,More than 1 year,5,3,Suburban,4,6,4,5,3,6
43,0,Male,1981,Millenial,White,Russian Federation,Not in a relationship,4,1,Rural,2,10,8,1,4,9
58,1,Male,1981,Millenial,Asian,India,More than 1 year,4,3,Urban,2,2,1,2,5,1
8,0,Male,1982,Millenial,White,United States,More than 1 year,5,5,Suburban,4,10,7,9,5,7
20,0,Female,1982,Millenial,Asian,United States,More than 1 year,4,5,Suburban,3,7,10,,7,7
56,1,Male,1983,Millenial,White,United States,More than 1 year,10,6,Suburban,2,4,4,2,5,4
46,1,Female,1984,Millenial,White,United States,Not in a relationship,5,3,Suburban,1,5,5,6,3,4
63,1,Male,1984,Millenial,Asian,India,More than 1 year,3,3,Suburban,2,6,5,1,6,4
78,1,Male,1984,Millenial,Asian,United States,More than 1 year,4,2,Urban,2,6,4,3,5,4
6,0,Female,1985,Millenial,Asian,China,More than 1 year,3,3,Suburban,2,9,9,7,9,7
75,1,Female,1985,Millenial,White,United States,Not in a relationship,3,1,Suburban,2,5,5,3,3,3
3,0,Male,1986,Millenial,Asian,Canada,More than 1 year,4,5,Urban,3,8,6,3,3,8
28,0,Female,1986,Millenial,Asian,Singapore,More than 1 year,4,3,Suburban,2,7,7,7,7,7
68,1,Female,1986,Millenial,Asian,United States,More than 1 year,3,3,Suburban,2,4,4,4,4,4
9,0,Female,1987,Millenial,Asian,India,More than 1 year,4,2,Suburban,2,10,10,5,5,5
18,0,Male,1987,Millenial,White,United States,Not in a relationship,7,1,Rural,1,10,9,5,3,5
49,1,Female,1987,Millenial,Asian,China,More than 1 year,4,4,Suburban,2,5,6,2,3,3
84,1,Male,1987,Millenial,White,United States,More than 1 year,9,4,Suburban,1,5,4,4,3,4
5,0,Male,1988,Millenial,Asian,United States,Do not want to say,5,2,Urban,5,9,9,5,5,9
12,0,Male,1988,Millenial,Asian,China,Less than 1 year,8,3,Urban,2,7,5,5,8,6
14,0,Female,1988,Millenial,Asian,China,More than 1 year,3,4,Urban,2,6,10,5,8,6
15,0,Female,1988,Millenial,Asian,China,Not in a relationship,3,2,Urban,1,3,2,4,4,8
19,0,Female,1988,Millenial,Asian,China,More than 1 year,3,2,Urban,2,9,6,5,6,6
24,0,Male,1988,Millenial,Asian,China,More than 1 year,3,3,Urban,2,5,5,5,5,5
